County,Year,Population
Erie,1997,"963,040"
Erie,1998,"956,578"
Erie,1999,"952,546"
Erie,2000,"949,440"
Erie,2001,"946,515"
Erie,2002,"943,551"
Erie,2003,"941,846"
Erie,2004,"938,333"
Erie,2005,"931,745"
Erie,2006,"925,564"
Erie,2007,"921,887"
Erie,2008,"920,571"
Erie,2009,"919,334"
Erie,2010,"920,059"
Erie,2011,"924,403"
Erie,2012,"928,112"
Erie,2013,"932,734"
Erie,2014,"937,256"
Erie,2015,"939,783"
Erie,2016,"941,531"
Erie,2017,"945,520"
Erie,2018,"949,686"
Erie,2019,"952,161"
Erie,2020,"952,491"
Erie,2021,"952,725"
Erie,2022,"949,276"
Erie,2023,"947,418"
Erie,2024,"947,783"
Essex,1990,"37,286"
Essex,1991,"37,593"
Essex,1992,"37,619"
Essex,1993,"38,060"
Essex,1994,"38,243"
Essex,1995,"38,262"
Essex,1996,"38,595"
Essex,1997,"38,646"
Essex,1998,"38,506"
Essex,1999,"38,664"
Essex,2000,"38,911"
Essex,2001,"38,893"
Essex,2002,"39,195"
Essex,2003,"39,334"
Essex,2004,"39,295"
Essex,2005,"39,321"
Essex,2006,"39,490"
Essex,2007,"39,373"
Essex,2008,"39,435"
Essex,2009,"39,478"
Essex,2010,"39,370"
Essex,2011,"39,329"
Essex,2012,"38,979"
Essex,2013,"38,746"
Essex,2014,"38,511"
Essex,2015,"38,193"
Essex,2016,"37,957"
Essex,2017,"37,825"
Essex,2018,"37,656"
Essex,2019,"37,376"
Essex,2020,"37,275"
Essex,2021,"37,238"
Essex,2022,"36,756"
Essex,2023,"36,686"
Essex,2024,"36,539"
Franklin,1990,"46,668"
Franklin,1991,"47,886"
Franklin,1992,"48,702"
Franklin,1993,"49,350"
Franklin,1994,"49,712"
Franklin,1995,"49,965"
Franklin,1996,"50,179"
Franklin,1997,"49,919"
Franklin,1998,"49,620"
Franklin,1999,"51,061"
Franklin,2000,"51,044"
Franklin,2001,"50,925"
Franklin,2002,"50,924"
Franklin,2003,"51,228"
Franklin,2004,"51,197"
Franklin,2005,"51,257"
Franklin,2006,"51,511"
Franklin,2007,"51,782"
Franklin,2008,"51,907"
Franklin,2009,"51,706"
Franklin,2010,"51,581"
Franklin,2011,"51,237"
Franklin,2012,"51,238"
Franklin,2013,"50,423"
Franklin,2014,"50,066"
Franklin,2015,"49,262"
Franklin,2016,"49,536"
Franklin,2017,"48,696"
Franklin,2018,"48,298"
Franklin,2019,"47,830"
Franklin,2020,"47,252"
