County,Year,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Population,Index_Total_Rate,Property_Total_Rate,Violent_Total_Rate,Murder_Rate,Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,Burglary_Rate,Larceny_Rate,Motor_Vehicle_Theft_Rate
Allegany,2003,1692,200,2,24,8,166,1492,356,1098,38,50165,3372.869530549188,2974.185188876707,398.6843416724808,3.9868434167248084,47.842121000697695,15.947373666899233,330.9080035881591,709.6581281770159,2188.7770357819195,75.75002491777136
Allegany,2004,1886,194,0,38,4,152,1692,404,1226,62,50311,3748.6831905547497,3363.0816322474207,385.6015583073284,0.0,75.53020214267258,7.950547593965534,302.1208085706903,803.005306990519,2436.8428375504363,123.23348770646578
Allegany,2005,2138,268,0,74,10,184,1870,468,1360,42,49768,4295.93312972191,3757.4344960617263,538.4986336601833,0.0,148.6899212345282,20.093232599260567,369.71547982639447,940.3632856453946,2732.6796334994374,84.3915769168944
Allegany,2006,1678,238,4,26,6,202,1440,298,1110,32,49359,3399.582649567455,2917.401081869568,482.1815676978869,8.103891894082132,52.67529731153387,12.1558378411232,409.2465406511477,603.7399461091189,2248.830000607792,64.83113515265705
Allegany,2007,1420,172,2,20,4,146,1248,390,826,32,49079,2893.2944844026974,2542.839096151103,350.45538825159434,4.075062654088307,40.75062654088307,8.150125308176614,297.4795737484464,794.6372175472197,1683.0008761384706,65.20100246541291
Allegany,2008,1302,182,0,20,8,154,1120,348,736,36,49177,2647.57915285601,2277.487443316998,370.09170953901213,0.0,40.66941863066067,16.26776745226427,313.1545234560872,707.6478841734958,1496.6346056083128,73.20495353518922
Allegany,2009,1552,258,0,90,8,160,1294,408,852,34,48969,3169.3520390451104,2642.488104719312,526.8639343257979,0.0,183.7897445322551,16.336866180644897,326.73732361289797,833.1801752128897,1739.8762482386817,69.43168126774081
Allegany,2010,1682,178,0,22,12,144,1504,322,1154,28,48992,3433.2135858915744,3069.888961463096,363.32462442847816,0.0,44.90529065969954,24.49379490529066,293.92553886348793,657.250163291966,2355.486610058785,57.15218811234487
Allegany,2011,1790,128,0,26,8,94,1662,380,1242,40,48902,3660.381988466729,3398.6340026992757,261.74798576745326,0.0,53.16755960901395,16.35924911046583,192.2211770479735,777.0643327471269,2539.77342439982,81.79624555232915
Allegany,2012,1718,130,4,18,4,104,1588,422,1128,38,48391,3550.246946746296,3281.6019507759706,268.64499597032506,8.265999876010003,37.19699944204501,8.265999876010003,214.91599677626004,872.0629869190552,2331.0119650348206,78.52699882209502
